时间,识别结果,置信度
2026-05-15 01:42:28,773422134400035,0.9392
2026-05-15 01:52:43,,0.0000
2026-05-15 01:52:59,179422134400035,0.9809
2026-05-15 01:53:09,779422134400035,0.9790
2026-05-15 01:53:20,天津和平九洲医院TIANJINHEPINGJIUZHGUROS专注男性健康158480嘉17802220713地址和平区西康路72号九洲医院,0.9438
2026-05-15 01:55:17,ROGUEONEASTARWARSSTORYALEXANDERFREEDTBASEDONASTORYBYJOHNKNOLLANDGARYWHITTASCREENPLAYWRITTENBYCHRISWEITZANDTONYGILROY,0.7957
2026-05-15 01:55:31,ROGUEONEASTARWARSSTORYALEXANDERFREEDBASEDONASTORYBYJOHNKNOLLANDGARYWHITTASCREENPLAYWRITTENBYCHRISWEITZANDTONYGILROY,0.9753
2026-05-15 02:05:22,,0.0000
2026-05-15 02:05:36,,0.0000
2026-05-15 02:05:39,mAh,0.8015
2026-05-15 02:05:42,,0.0000
2026-05-15 02:05:50,熟水温和1,0.3079
2026-05-15 02:05:59,现代风3美令全部君人民服务,0.5846
2026-05-15 02:06:06,为人民服技,0.7952
2026-05-15 02:06:12,ool口TASTE人民服务,0.5949
2026-05-15 02:06:21,QOWTARTE为人民服務,0.5965
2026-05-15 15:31:53,,0.0000
2026-05-15 15:32:07,779422134400035,0.9535
2026-05-15 15:32:12,USBAQSE60通NP,0.4429
2026-05-15 23:28:20,不,0.2329
2026-05-15 23:28:31,2213440003,0.9901
2026-05-15 23:28:38,,0.0000
2026-05-15 23:28:40,,0.0000
2026-05-16 01:55:35,,0.0000
2026-05-16 01:56:19,119422134400035,0.9658
2026-05-18 22:48:13,,0.0000
2026-05-18 22:48:58,Un179422134400035,0.6566
2026-05-18 22:54:47,,0.0000
2026-05-18 22:55:56,1111779422134400035,0.8879
2026-05-18 22:57:15,110779422134400035,0.6584
2026-05-18 23:37:05,0010173422134400035,0.8403
2026-05-18 23:38:06,111779422134400035,0.6513
2026-05-18 23:39:08,779422134400035,0.9877
2026-05-19 12:44:00,,0.0000
2026-05-19 12:44:43,,0.0000
2026-05-19 12:45:40,779422134400035,0.9814
